,date,user,location,comment
0,2021-05-11 23:58:16,Cryptoinvest__,"Bruxelles, Belgique",RT @LensDeShaz: Put some money into @SaturnaToken 2 nights ago without much thought. Woke up this morning and saw my investment 3xd already…
1,2021-05-11 21:01:31,0000FFCoin,,If people tell you the chances of *insert token here* getting to 0.01c is low just remind them the chances of you b… https://t.co/jXzWSndf1W
2,2021-05-11 20:12:49,CsonkaNick,,@CoinMarketCap Saturna deserves to be looked at!! You thought you've seen it all but the community behind this toke… https://t.co/bxqGga0Ura
3,2021-05-11 10:26:12,cryptocheck123,,RT @Tsunamipapi88: @SaturnaToken NEXT #100x token hands down this project has already been growing the fastest in bsc history.…
4,2021-05-11 10:24:49,GSDogira,Dogecity,RT @Tsunamipapi88: @SaturnaToken NEXT #100x token hands down this project has already been growing the fastest in bsc history.…
5,2021-05-11 00:22:01,CryptoUnitcom,,RT @Thlcs13: SATURNA TOKEN 93m MarketCap in 4 days. FASTEST GROWTH EVER!! #moonshot #bscgems #saturna #saturnatoken #doge #crypto #safemoon…
6,2021-05-11 00:19:17,Thlcs13,,SATURNA TOKEN 93m MarketCap in 4 days. FASTEST GROWTH EVER!! #moonshot #bscgems #saturna #saturnatoken #doge… https://t.co/64Pqi7CsJX
7,2021-05-11 00:11:44,Abdulla48498126,,"RT @JTSweetnam: @OnlyFuturistic I've been in crypto for 6 years and never seen hype like this surrounding a token!
#Saturna #saturnatoken"
8,2021-05-11 00:07:05,error4everr,,"RT @JTSweetnam: @OnlyFuturistic I've been in crypto for 6 years and never seen hype like this surrounding a token!
#Saturna #saturnatoken"
9,2021-05-10 23:59:37,cryptocheck123,,"RT @JTSweetnam: @OnlyFuturistic I've been in crypto for 6 years and never seen hype like this surrounding a token!
#Saturna #saturnatoken"
10,2021-05-10 23:37:15,JTSweetnam,Canada,"@OnlyFuturistic I've been in crypto for 6 years and never seen hype like this surrounding a token!
#Saturna #saturnatoken"
11,2021-05-10 21:43:33,DrRealist2,,"It might be dog season right now but it'll soon be frog season 🐸👍

BSC token, low fees no worries about gas fee… https://t.co/azDTnZUKpW"
12,2021-05-10 20:02:57,Tsunamipapi88,"Vancouver, British Columbia",@SaturnaToken NEXT #100x token hands down this project has already been growing the fastest in bsc history.… https://t.co/lmPrFN4Mdu
13,2021-05-10 18:31:19,HassanAhed,"London, England","@crypto_boy000 💎 CHELSEA FC 💎

TICKER: $CFC ⚽️

🚨 Less than an hour old! 🚨

#BSC contract: 📝… https://t.co/P9oP8Y2cpJ"
14,2021-05-10 01:51:29,m_aichholz,,RT @LensDeShaz: Put some money into @SaturnaToken 2 nights ago without much thought. Woke up this morning and saw my investment 3xd already…
15,2021-05-09 22:42:31,crypto_tech5,,"Aped into $SAT. It's a #safemoon clone but the MC is actually growing faster than safemoon did. 

@Saturna_Token"
16,2021-05-09 22:14:41,GSDogira,Dogecity,RT @LensDeShaz: Put some money into @SaturnaToken 2 nights ago without much thought. Woke up this morning and saw my investment 3xd already…
17,2021-05-09 12:49:06,LensDeShaz,"Cardiff, Wales",Put some money into @SaturnaToken 2 nights ago without much thought. Woke up this morning and saw my investment 3xd… https://t.co/UgiPxyU0Kf
